name;rating;categories;benefits;description
Clove Leaf;Worst;Irritant, Plant Extracts;;
Clove Oil;Worst;Fragrance: Synthetic and Natural, Irritant, Plant Extracts;;Can aggravate skin when used repeatedly.
Clover Blossom;Worst;Fragrance: Synthetic and Natural, Irritant, Plant Extracts;;Contains eugenol, which can aggravate skin and cause photosensitivity.
Clover Leaf Oil;Worst;Fragrance: Synthetic and Natural, Irritant, Plant Extracts;;
Cocamide DEA And MEA;Bad;Cleansing Agent, Texture Enhancer;;Both cocamide DEA (diethanolamine) and MEA (monoethanolamine) are widely used to thicken the water phase of cosmetics, keep ingredients blended, and boost foaming properties. Derived from plants (typically coconut oil) or made synthetically, these ingredients have been thoroughly evaluated for safety and are permitted for use in leave-on products in concentrations up to 10%. Cocamide DEA can react with other ingredients to form harmful substances known as nitrosamines. According to the Cosmetic Ingredient Review (CIR) Board, “To prevent the formation of possibly [harmful] nitrosamines, these ingredients should not be used in cosmetics and personal care products containing nitrosating agents.” The CIR Expert Panel concluded that “Cocamide DEA was safe as used in rinse-off products and safe at concentrations of less than or equal to 10% in leave-on products.”
Cocamidopropyl Betaine;Good;Cleansing Agent, Texture Enhancer;;Cocamidopropyl betaine is approved for use up to 3% in leave-on products but its concentration range for rinse-off formulas is much wider, typically between 4-40% depending on the formula’s characteristics.
Cocamidopropyl Dimethylamine;Good;Cleansing Agent;;An antistatic agent derived from fatty acids found in coconut oil, though it may be produced synthetically, too. Although very high concentrations can be sensitizing, this ingredient is considered safe and effective when used in lower amounts in water-based formulas. Despite its function as an antistatic agent, cocamidopropyl dimethylamine belongs to the same class of ingredients as the cleansing/lather agent cocamidopropyl betaine.
Cocamidopropyl Hydroxysultaine;Good;Cleansing Agent;;Cocamidopropyl hydroxysultaine is a mild surfactant.
Coccinia Indica (Ivy Gourd) Fruit Extract;Best;Plant Extracts, Antioxidant;Hydration, Anti-Aging;"A fruit whose components can help shield skin from an imbalance of naturally-occurring substances on skin's surface; however, there's minimal research attesting to its other benefits for skin, save for being a natural skin-conditioning agent."
Cocoa Butter;Best;Emollient, Plant Extracts, Antioxidant;Hydration, Anti-Aging;Oil extracted from cocoa beans, used as an emollient and with properties similar to those of other non-fragrant plant oils. Cocoa butter is a rich source of antioxidant polyphenols.
Cocoa Extract;Best;Antioxidant, Plant Extracts;Anti-Aging;Can have potent antioxidant properties.
Coco-Caprylate;Good;Emollient, Texture Enhancer;Hydration;Coco-caprylate is the mixture of esters that occur when the fatty alcohols derived from coconut alcohol reacts with the fatty acid caprylic acid. What results is a lightweight, easy-to-spread emollient ingredient that smooths and softens skin.Coco-caprylate may be plant-derived or synthetic (Paula’s Choice uses the former).
Coco Caprylate/Caprate;Good;Emollient;Hydration;Coco caprylate/caprate is made by combining esters from coconut-derived fatty alcohol (the non-drying kind) with caprylic and capric acids, also from coconut. It may be plant-derived or synthetic--Paula’s Choice uses the natural form--and functions as a lightweight emollient. Along with providing emollient benefit, this ingredient can also help solubilize other cosmetic ingredients. It is considered safe as used in cosmetics.
Coco-Glucoside;Good;Cleansing Agent;;Coco-glucoside is a mixture of fatty alcohol from coconut and glucose. Chiefly functions as a cleansing agent. May be plant-derived or manufactured synthetically.
Cocoglycerides;Good;Texture Enhancer, Emollient;Hydration;Cocoglycerides are used as emollient and thickening agents in cosmetics.
Coconut;Good;Plant Extracts;;Has degreasing and cleansing properties, which is why detergent cleansing agents are frequently derived from coconut oil.
Coconut Acid;Good;Cleansing Agent;;A natural mixture of fatty acid found in coconut oil. Coconut acid's primary use in cosmetics is as a cleansing agent.
Coconut Oil;Best;Emollient, Plant Extracts, Antioxidant;Hydration;Contrary to claims, coconut oil does not provide sufficient sun protection for skin. Research has shown it only screens about 20% of UV light before it can damage skin, which means 80% still gets through. Therefore, skipping regular, broad spectrum sunscreen in favor of coconut oil is putting your skin at risk for early signs of aging and other undesirable effects.
Cocos Nucifera (Coconut) Fruit Extract;Best;Emollient, Plant Extracts, Antioxidant;Hydration, Anti-Aging;The extract of the fruit of the coconut tree, this ingredient is rich in skin-conditioning fatty acids, proteins, and complex B vitamins.
Cocoyl Proline;Good;Humectant;Hydration;Cocoyl proline is a mixture of coconut fatty acids and the amino acid proline, this ingredient may be plant-derived or synthetic. It functions in cosmetics as a hydrator and conditioning agents. It’s considered safe as used in cosmetics.
Cocus Nucifera;Best;Plant Extracts, Emollient;Hydration;
Codium Tomentosum Extract;Good;Plant Extracts, Antioxidant, Texture Enhancer;Anti-Aging;
Coenzyme Q10;Best;Antioxidant;Anti-Aging, Soothing;Also known as ubiquinone, it is a vitamin-like, fat-soluble substance naturally present in the body. A handful of studies have shown that coenzyme Q10 (CoQ10) may help improve the appearance of signs of aging.There is also research showing that environmental factors deplete the presence of CoQ10 in the skin. The latest research suggests that topical application of CoQ10 has antioxidant and skin-soothing effects. As such, it is one of many helpful antioxidants for skin, but it is not the only one or the “best.”
Coffea Arabica (Coffee) Fruit Extract;Best;Plant Extracts, Antioxidant;Anti-Aging;On skin, the extract has been shown to reduce the occurrence of destructive enzymes that lead to signs of aging as well as help visibly repair signs of sun damage.
Coffea Arabica (Coffee) Seed Oil;Best;Plant Extracts, Antioxidant, Emollient;Anti-Aging, Hydration;Although that news is encouraging, at this point there’s little research to go on. However, coffee seed extract and oil are a rich source of antioxidants whether consumed (as in beverages) or applied to skin. We’re hopeful that ongoing research will reveal all forms of coffee to have benefits for skin.
Coffea Arabica Seed Extract;Best;Plant Extracts, Antioxidant;Anti-Aging;Coffea arabica is the coffee plant, and there is research showing that coffee extract has antioxidant properties. Journal of Agricultural and Food Chemistry, June 2002, issue 13, pages 3751-3756
Cola Acuminata Seed Extract;Average;Plant Extracts, Antioxidant, Irritant;;
Coleus Barbatus;Worst;Irritant, Plant Extracts;;"Member of the mint family and also known as forskolin; can aggravate skin."
Collagen Amino Acids;Good;Humectant;Hydration;Collagen amino acids are made from the hydrolysis (breaking down with water) of protein, resulting in a high amount of a single amino acid, hydroxyproline, which serves to increase skin’s moisture levels and smoothness.
Colloidal Oatmeal;Best;Plant Extracts, Antioxidant;Soothing;A form of oatmeal used in cosmetics and skin care products. It is produced by finely grinding oats, then boiling them. Research shows avenathramides, potent types of antioxidants found in oats (and colloidal oatmeal), can help soothe skin. A high concentration of beta-glucan and starches in colloidal oatmeal also mean it has water-binding properties and is an effective skin protectant. In fact, the United States Food & Drug Administration (FDA) categorizes colloidal oatmeal as a skin protectant, allowing it to be listed as an active ingredient on skin care products.
Colloidal Silver;Worst;Preservative, Irritant;;Refers to ground-up silver suspended in solution.
Comfrey Extract;Worst;Plant Extracts, Irritant;;Extract of a perennial herb that several studies have shown can have harmful properties when taken orally. Topical application of comfrey has skin-soothing properties, but it is recommended only for short-term use and only then if you can be sure the amount of pyrrolizidine alkaloids is less than 100 micrograms per application - something that is impossible to determine without sophisticated testing equipment - making comfrey an ingredient to avoid. The alkaloid content means it has the potential to aggravate skin.
Commiphora Myrrha Extract;Worst;Fragrance: Synthetic and Natural, Irritant, Plant Extracts;;
Coneflower;Best;Plant Extracts, Antioxidant;Soothing;"Another name for echinacea; has soothing properties."
Copaifera Officinalis;Worst;Fragrance: Synthetic and Natural, Irritant, Plant Extracts;;
Copernicia Cerifera Wax;Good;Texture Enhancer, Plant Extracts, Absorbent;;Copernicia cerifera wax is primarily used as a thickening agent, but also has film-forming and absorbent properties. Can be used to impart glossy shine.
Copper Gluconate;Good;Humectant;Hydration;Copper gluconate, also known as copper, is a mineral that is an important trace element for human nutrition. The body needs copper to absorb and use iron, and copper is also a component of the powerful antioxidant enzyme superoxide dismutase. Copper gluconate is a potentially exciting anti-aging ingredient, but certainly not among the most well researched or proven when it comes to topical application.
Copper Lysinate/Prolinate;Good;Humectant;Hydration;An amino acid/mineral complex that limited yet potentially exciting research has shown has the potential to improve the look of multiple signs of aging.
Copper PCA;Good;Humectant;Hydration;A synthetic skin-conditioning agent composed of the copper salt of PCA (Pyrrolidone Carboxylic Acid).
Copper Peptides;Good;Peptides;Anti-Aging;What’s more, these studies rarely, if ever, compare the allegedly wonderful results of copper peptides other, more established ingredients.
Copper Sulfate;Average;Irritant;;Effective for soothing skin, but there is no research showing it has any impact when used in skin Copper Sulfatecare products.
Corallina Officinalis Extract;Best;Plant Extracts, Antioxidant, Emollient;Hydration, Anti-Aging;
Coriander;Average;Plant Extracts, Fragrance: Synthetic and Natural, Antioxidant;Anti-Aging;"Herb and spice plant, the source of a fragrant component; it can aggravate skin. Newer research has shown that coriander leaf extract has restorative benefit, which is likely due to coriander leaf being a rich source of linolenic acid. It also appears coriander offers antioxidant benefit, at least when consumed orally. Last, components in coriander oil have skin-soothing benefits, but that doesn’t mean its fragrance components aren’t cause for concern."
Cornflower;Best;Plant Extracts, Antioxidant;Soothing, Anti-Aging;Can have skin-soothing properties.
Cornmint;Worst;Irritant, Plant Extracts, Antioxidant;;"Also known as wild mint; it can aggravate skin."
Corn Oil;Best;Emollient, Plant Extracts;Hydration;Emollient oil with properties similar to those of other nonfragrant plant oils.
Cornstarch;Good;Absorbent, Plant Extracts;Oil Control;Starch obtained from corn and sometimes used as an absorbent in cosmetics instead of or alongside talc. Generally, in powders corn starch lends a silky but dry feel and some find it is better at absorbing excess oil without looking cakey than pure talc-based powders. Cornstarch is also used as a thickening agent in skin care products.
Cornus Extract;Good;Plant Extracts, Antioxidant;Soothing;
Corylus Americana;Good;Plant Extracts, Emollient;Hydration;
Corylus Avellana;Good;Plant Extracts, Emollient;Hydration;
Coumarin;Good;Plant Extracts, Antioxidant;Anti-Aging;Organic compound found in plants and derived from the amino acid phenylalanine. It creates the fragrance in fresh-mowed hay. More than 300 coumarins have been identified from natural sources, especially green plants. However, simple coumarins are potent antioxidants.
Cranberry Seed Extract;Best;Plant Extracts, Antioxidant;Anti-Aging;Extract of the cranberry fruit. Natural components known as proanthocyanidins are responsible for this extract’s antioxidant and skin-soothing properties. The proanthocyanins (antioxidant compounds) in cranberry are believed to be primarily responsible for its health-promoting effects when consumed as juice, a powder, or a supplement.
Cranberry Seed Oil;Best;Plant Extracts, Emollient, Antioxidant;Anti-Aging, Hydration;"Extract derived from the seed of this red berry; the oil (which is not red) has potent antioxidant ability because it is a rich source of polyphenols as well as skin-restoring benefits."
Crataegus Monogina Extract;Average;Plant Extracts, Antioxidant;Anti-Aging;
Creatine;Best;Humectant;Hydration;Creatine is an amino acid found in the human body and most type of meat and fish. This ingredient serves as the precursor to adenosine triphosphate.
Cucumber Extract;Good;Plant Extracts, Antioxidant;Hydration, Soothing;In case you’re wondering: The act of placing slightly chilled cucumber slices over the eye may help reduce puffiness, but that’s not because the cucumber has de-puffing properties. Rather, it’s the coolness of it that diminishes puffiness and constricts the skin, and cucumber slices just happen to fit the contours of the eye area.
Cucumis Melo (Melon) Fruit Extract;Best;Antioxidant, Plant Extracts;Anti-Aging;More commonly known as cantaloupe or honeydew melon, Cucumis melo (melon) is a fruit rich in vitamins A and C and a wide range of various antioxidant compounds.
Cucumis Sativus Extract;Good;Plant Extracts, Antioxidant;Anti-Aging;
Cucurbita Pepo Seed Extract;Best;Plant Extracts, Antioxidant;Anti-Aging;
Cucurbitea Peponis;Best;Plant Extracts, Antioxidant;Anti-Aging;
Curcubita pepo (pumpkin) seed extract;Best;Antioxidant, Plant Extracts, Humectant;Anti-Aging, Hydration;Type of squash that is a very good source of antioxidant cartenoids and vitamin E. Pumpkin seed extract and pumpkin seed oil are also a great source of essential fatty acids (including linoleic acid) and zinc. It’s an excellent non-fragrant plant extract to see in cosmetics.
Curcuma Longa Root;Best;Antioxidant, Plant Extracts;Soothing, Anti-Aging;
Curcumin;Best;Antioxidant, Plant Extracts;Soothing, Anti-Aging;Potent antioxidant and soothing spice that can be effective in replenishing skin.
Cyamopsis Tetragonoloba;Good;Plant Extracts, Texture Enhancer;;
Cyamopsis tetragonoloba (Guar) Gum;Good;Texture Enhancer, Emulsifier, Plant Extracts;;Plant-derived thickening agent often used in products that are attempting to be (or are) mostly natural.
Cyanocobalamin;Good;Antioxidant;Anti-Aging;
Cyclamen Aldehyde;Worst;Fragrance: Synthetic and Natural, Plant Extracts, Irritant;;"Synthetic fragrant component in products; it can aggravate skin."
Cyclohexasiloxane;Good;Silicone, Emollient, Solvent;Hydration;One of the numerous forms of synthetic silicone used in haircare and skin care products to improve texture, add shine (to hair) and impart emollience.
Cyclomethicone;Good;Silicone, Emollient, Solvent;Hydration;Cyclomethicone is a silicone that is used to improve the aesthetics of a formula (its dry finish can help make moisturizers feel less greasy).
Cyclopentasiloxane;Good;Silicone, Emollient, Solvent;Hydration;According to the Cosmetic Ingredient Review Expert Panel’s assessment (as reported in 2011), cyclopentasiloxane can safely be used in up to 93% in personal care products. It does not pose a health risk to skin as used in cosmetic products.
Cyclotetrasiloxane;Good;Silicone, Emollient, Solvent;Hydration;Cyclotetrasiloxane is a type of silicone that is most often utilized for contributing emollience to a formula and delivering a skin-softening effect.
Cymbopogon Citrates;Worst;Plant Extracts, Fragrance: Synthetic and Natural, Irritant;;
Cymbopogon Martini;Worst;Plant Extracts, Fragrance: Synthetic and Natural, Irritant;;
Cysteine;Good;Humectant;Hydration;
Cystine;Good;Humectant;Hydration;
"D&amp;C";Average;Coloring Agent/Pigment;;According to the United States Food and Drug Administration (FDA), D&C indicates that a coloring agent has been approved as safe in drug and cosmetics products, but it does not apply to food.
"D&amp;C Colors";Average;Coloring Agent/Pigment;;General term for a wide group of color additives that are approved for use in drugs and cosmetics but not in foods (foods may only be colored with FD&C-approved dyes). Many red dyes fall into this category due to concern about oral consumption.
Daisy Flower Extract;Worst;Plant Extracts, Irritant;;There is no research showing this extract has any benefit for skin. Also known as tansy, it can cause severe sensitivity and is considered unsafe for topical application.
D-Alpha-Tocopherol;Best;Antioxidant;Anti-Aging, Evens Skin Tone;Antioxidant that’s considered the most effective form of vitamin E.
Daucus Carota;Worst;Plant Extracts, Irritant, Antioxidant;;Also known as wild carrot. It can have antioxidant properties, but applied topically it can cause sensitivity.
DEA Oleth-10 Phosphate;Good;Emulsifier, Cleansing Agent;;Used as an emulsifying agent, which is a group of ingredients essential to most cosmetic formulations because they can keep unlike ingredients mixed together smoothly (a prime example is oil and water).
Decarboxy Carnosine HCL;Best;Humectant;Hydration;
Decylene Glycol;Good;Humectant;Hydration;Decylene glycol is a synthetic glycol that functions as a skin-conditioning agent. Glycols also give slip to products (for easier application) and can help enhance the penetration of other ingredients.
Decyl Glucoside;Good;Cleansing Agent;;Decyl glucoside is a sugar-derived ingredient used as a gentle detergent cleansing agent.
Decyl Oleate;Good;Emollient;;Decyl oleate is a skin-conditioning agent with research backing its ability to improve immediate skin hydration. Its composition is similar to skin’s natural lipids.
Dehydroacetic Acid;Good;Preservative;;A synthetic preservative used in amounts of 0.6% or less where it’s proven to be safe and effective. Dehydroacetic acid is characterized as a white to cream crystalline powder. Sometimes its salt form (known as sodium dehydroacetate) is used, as it is more soluble in certain types of cosmetic formulas. Dehydroacetic acid is most effective on fungi.
Dehydroepiandrosterone;Average;Humectant;Hydration;
Deionized/Demineralized Water;Good;Solvent;Hydration;Filtered water used in cosmetics. All water used in cosmetic formulations goes through this process to remove components that could interfere with a product’s stability and performance.
Denatured Alcohol;Worst;Irritant, Solvent;;Denatured alcohol is a drying type of alcohol that aggravates and weakens skin. Typically, if denatured alcohol is listed as the fifth ingredient or higher, it is of considerable risk for sensitizing skin.
Deoxyribonucleic Acid;Average;Humectant;Hydration;
Detergent Cleansing Agent;Good;Cleansing Agent;;
Deuterium Oxide;Average;Solvent;;
Dextran;Good;Humectant;Hydration;Dextran is a polysaccharide that has water-binding properties for skin.
Dextrin;Good;Texture Enhancer, Absorbent;Oil Control;Carbohydrate that is classified as a polysaccharide. It is used as an adhesive when mixed with water. For skin it can have water-binding properties.
DHA;Good;Coloring Agent/Pigment;;
Diatomaceous Earth;Bad;Exfoliant, Irritant;;Light-colored porous rock composed of the skeletons of minute sea creatures called diatoms. Typically used as an abrasive material in scrub products.
Diazolidinyl Urea;Bad;Preservative;;Water-soluble preservative. This preservative is considered safe for use at concentrations up to 0.5%, although it’s usually present at lower concentrations because it’s typically part of a blend with other preservatives (such as parabens). Diazolidinyl urea can be a formaldehyde-releasing preservative. Although that sounds scary, the amount of formaldehyde released is well below the recommended limits of exposure. Moreover, other ingredients (such as proteins) in a product cause the free formaldehyde to evaporate and become inactive before it could possibly harm skin. See formaldehyde-releasing preservative
Dibutyl Phthalate;Average;Solvent, Fragrance: Synthetic and Natural;;Despite the negative association phthalate exposure has in animals, an analysis of multiple studies and epidemiologic research led to the conclusion that “...the risks are low, even lower than originally thought, and that there is no convincing evidence of adverse effects on humans. Since the scientific evidence strongly suggests that risks to humans are low, phthalate regulations that have been enacted are unlikely to lead to any marked improvement in public health.”
Dicaprylyl Carbonate;Good;Emollient, Solvent;Hydration;Dicaprylyl carbonate is a skin-conditioning agent, emollient and solvent that helps enhance the absorption of other ingredients in a cosmetic formula. May be derived from synthetic or animal sources.
Dicetyl Phosphate;Good;Emulsifier, Cleansing Agent;;A mix of portions from cetyl alcohol and phosphoric acid that functions as surfactant and emulsifier.
Diethylhexyl Carbonate;Good;Emollient;;Diethylhexyl carbonate is a synthetic oil-like ester that functions as a skin-conditioning agent and emollient. Also used in sunscreen formulas to help keep the active ingredients dispersed throughout the formula.
Diethylhexyl Malate;Good;Emollient;;Emollient and skin-conditioning agent derived from the solvent ethyl hexanediol.
Diethylhexyl Syringylidenemalonate;Good;Antioxidant;Anti-Aging;Diethylhexyl syringylidenemalonate is an ester that functions as an antioxidant and helps protect cosmetics products from chemical or physical deterioration induced by light.
Diheptyl Succinate;Best;Texture Enhancer, Emollient;Hydration;Diheptyl succinate is a lightweight, emollient texture enhancer that is sometimes used as a replacement for silicones in cosmetic products.
Dihydrocholeth-30;Good;Emulsifier, Cleansing Agent;;A synthetic ingredient that functions as an emulsifier and surfactant. It’s also known as PEG-30 dihydrocholesteryl ester. This ingredient is most commonly used in cleansers, makeup removers, toners, and moisturizers.
Dihydroxyacetone;Good;Coloring Agent/Pigment;;"Ingredient that affects the color of skin and that is present in most self-tanners. Derived from sugar, it reacts with amino acids found in the top layers of skin to create a shade of brown; the effect takes place within two to six hours and it can build color depth with every reapplication. It has a long history of safe use when applied topically to skin, where it affects only the uppermost layers. Dihydroxyacetone doesn’t pose a health risk to skin."
Diisooctyl Succinate;Good;Emollient;Hydration;Diisooctyl succinate is a synthetic or plant-derived (Paula's Choice uses the latter) transparent liquid emollient that lends a cushiony texture to creams and balms while imparting a silky finish. The plant version is made from corn and castor oils. Along with helping to make heavier cleansing ingredients and oils feel less greasy, diisooctyl succinate also helps disperse sunscreen ingredients and is considered a suitable alternative to siloxanes and palm oil.
Diisopropyl Adipate;Good;Emollient, Texture Enhancer, Film-Forming Agent;Hydration;Used as a film-forming agent, emollient, and skin-conditioning agent.
Diisopropyl Dimer Dilinoleate;Good;Emollient;Hydration;A synthetic ester that functions as a skin-conditioning agent and emollient.
Diisostearoyl Trimethylolpropane Siloxy Silicate;Good;Emollient, Silicone;Hydration;Emollient in the silicone family.
Diisostearyl Dimer Dilinoleate;Good;Emollient;Hydration;A synthetic ester that functions as an emollient. May be animal-derived.
Diisostearyl Malate;Good;Emollient;Hydration;Diisostearyl malate is an ester that functions as an emollient in cosmetics. It is created from malic acid and isostearyl alcohol. This ingredient is most commonly used in lipsticks and has been deemed safe for use by the Cosmetic Ingredient Review board.
Diisostearyl Polyglyceryl-3 Dimer Dilinoleate;Good;Emulsifier, Emollient;Hydration;"An emollient blend of fatty acids often used in cosmetics to enhance coverage, water-resistance, and wear time. Diisostearyl polyglyceryl-3 dimer dilinoleate also functions as an emulsifier. It may be animal-derived or synthetic; Paula's Choice uses the latter."
Dimer Dilinoleyl Dimer Dilinoleate;Good;Emollient, Texture Enhancer;Hydration;A mixture of fatty acids and a fatty alcohol. This synthetic ingredient is most often used to give texture and form to lipstick and lip gloss. Some cosmetic companies use this ingredient in place of lanolin.
Dimethicone;Best;Silicone, Emollient;Hydration;Dimethicone is considered a synthetic ingredient, even though it’s derived from natural silicon. It has a long track record of being recognized as safe in cosmetic products.
Dimethicone/PEG-10/15 Crosspolymer;Good;Silicone, Emollient, Polymer;Hydration;A mixture of the silicone dimethicone with PEG-10 and PEG-15.
Dimethicone/Vinyl Dimethicone Crosspolymer;Good;Silicone, Texture Enhancer, Polymer;;Dimethicone/vinyl dimethicone crosspolymer is a silicone powder that gives cosmetics products a silky feel and has some oil absorption properties.
Dimethicone Copolyol;Good;Silicone, Emollient;Hydration;
Dimethicone Crosspolymer;Good;Silicone, Texture Enhancer, Polymer;;Dimethicone crosspolymer is a silicone derivative used as a stabilizing and suspending agent or as a thickener in skin care products.
Dimethiconol;Good;Silicone, Emollient;Hydration;
Dimethyl Capramide;Good;Solvent, pH Adjuster/Stabilizer;;Functions as a stabilizer and solvent in cosmetics.
Dimethyl Ether;Worst;Solvent, Texture Enhancer;;Colorless gas used as a propellant in aerosol products. It is harmful if inhaled and can aggravate skin.
Dimethyl Isosorbide;Good;Solvent, Texture Enhancer;;Dimethyl isosorbide is a clear, slighlty oily-feeling liquid that functions as a solvent and may be plant-based or synthetic. It is also used to decrease the thickness of products, such as keeping a liquid in its fluid form rather than wllowing it to rever to a lotion (or, in cosmetics chemistry parlance, a thicker emulsion). Another function of this ingredient is to allow controlled, sustained delivery of key ingredients such as antioxidants, so they can, in theory, provide stronger benefits.
Dimethyl MEA;Bad;pH Adjuster/Stabilizer;;
Dioscorea Villosa Extract;Average;Plant Extracts, Humectant;Hydration;
Dipalmitoyl Hydroxyproline;Best;Peptides;Hydration, Anti-Aging;Palmitic acid is considered safe for skin, as are proline and hydroxyproline since the latter two are found naturally in skin and its collagen.
Dipentaerythrityl Hexacaprylate/Hexacaprate;Good;Emollient, Emulsifier, Texture Enhancer;Hydration;Dipentaerythrityl hexacaprylate/hexacaprate is a mixture of fatty acids used as an emollient, emulsifier, and thickening agent.
Dipentaerythrityl Tetrabehenate/Polyhydroxystearate;Good;Texture Enhancer;Hydration;This odorless, tasteless ingredient is sometimes used as a replacement for animal-derived lanolin in lipsticks and lip glosses, where its typical usage level ranges from 5-10% depending on desired aesthetics. Lower amounts may also be used, again depending on aesthetics and performance standards around moisture.
Dipeptide-2;Best;Peptides;Anti-Aging;"Dipeptide-2 is a small, less complex synthetic peptide made up of the amino acids tryptophan and valine. Studies from one ingredient supplier indicate that this peptide as part of a blend may improve fluid drainage in the eye area, thus reducing the look of puffy eyes; however, as this is being written in late 2019, this claim isn't supported by independent research. Generally, dipeptide-2 is considered a skin conditioning ingredient whose smaller size allows it to easily penetrate skin's uppermost layers where it can assist with skin renewal and replenishment."
Dipotassium Glycyrrhizate;Best;Plant Extracts, Antioxidant;Soothing, Dark Spot Fading;
Dipotassium Glycyrrhizinate;Best;Plant Extracts, Antioxidant;Soothing, Dark Spot Fading;
Dipotassium Phosphate;Good;pH Adjuster/Stabilizer;;A synthetic salt that helps to adjust and maintain the pH of water-based and water soluble cosmetic formulas. Dipotassium phosphate is also used in foods as a buffering agent to improve food texture, where it has GRAS (generally recognized as safe) status.
Di-PPG-3 Myristyl Ether Adipate;Good;Film-Forming Agent, Emollient, Solvent;Hydration;Derivative of myristyl alcohol (a fatty alcohol) and adipic acid (a buffering and neutralizing ingredient). It is used as a skin-conditioning agent and solvent in cosmetics.
Dipropylene Glycol;Good;Texture Enhancer, Solvent;;Dipropylene glycol is a synthetic slip agent and texture enhancer.
Disodium Cocoamphodiacetate;Good;Cleansing Agent;;"Disodium cocoamphodiacetate is a mild detergent cleansing agent derived from coconut; most often used in facial cleansers."
Disodium Cocoyl Glutamate;Good;Cleansing Agent;;Disodium cocoyl glutamate is a cleansing agent derived from coconut.
Disodium Diglyceryl Phosphate;Good;Emollient, Texture Enhancer;Hydration;Used as an emollient and thickening agent in cosmetics.
Disodium EDTA;Good;Chelating Agent;;In several studies, the Cosmetics Review Board has found that as used in cosmetics products, disodium EDTA is safe. It was determined that in the concentrations used in commercial cosmetics, it is not a skin sensitizer nor a carcinogen, and does not penetrate through skin. The highest concentration of disodium EDTA used in leave-on products is 0.85% (for hair color sprays).
Disodium Glyceryl Phosphate;Good;Emollient, Texture Enhancer;Hydration;Used as an emollient and thickening agent in cosmetics.
Disodium Lauraminopropionate;Good;Cleansing Agent;;A mild surfactant.
Disodium Lauriminodipropionate Tocopheryl Phosphates;Good;Cleansing Agent, Humectant;Hydration;Disodium lauriminodipropionate tocopheryl phosphates is a complex mixture of esters formed from a blend of tocopherol phosphates with lauriminodipropionic acid. This blend is part natural, part synthetic and has multiple functions, including as a cleansing agent. Lauriminodipropionic acid is a propionic acid, a natural acid that is part of the degraded contents of sugar. It has mild preservative properties.
Disodium Rutinyl Disulfate;Good;Antioxidant;Anti-Aging, Evens Skin Tone;A water-soluble derivative of the bioflavinoid rutin. Research shows rutin has both antioxidant and skin-soothing properties.
Disteardimonium Hectorite;Good;Suspending/Dispersing Agent;;Used as a suspending agent, often with pigments.
DMAE;Bad;pH Adjuster/Stabilizer;;Moreover, because almost all moisturizers (including serums and eye creams) are formulated with a pH that closely matches that of human skin (generally 5.5-6.5, which is on the acidic side of the scale), in all likelihood the DMAE included in skin care products cannot have any prolonged functionality.
DMDM Hydantoin;Bad;Preservative;;Synthetic, formaldehyde-releasing preservative that has mixed research on its potential to aggravate skin. Despite its connection to formaldehyde, the Cosmetic Ingredient Review Board has confirmed the safety of this preservative in three separate reviews, each spaced several years apart.
Docosahexaenoic Acid;Best;Emollient, Texture Enhancer;;
Dog Rose;Good;Plant Extracts, Antioxidant;Anti-Aging;
Dogwood;Good;Plant Extracts, Antioxidant;Soothing;There is a small amount of research showing that dogwood has antioxidant and skin-soothing properties.
Dromiceius Oil;Good;Emollient;Hydration;
Dulse;Good;Plant Extracts, Antioxidant;Anti-Aging;
Dunaliella Salina Extract;Best;Plant Extracts, Antioxidant;Anti-Aging, Soothing;A type of micro-algae that’s known for being adaptable and able to survive even in harsh natural conditions. It’s a rich source of beta-carotene, and conveys potent antioxidant benefits that can benefit skin. Dunaliella salina extract is also a natural source of vitamin B12.
Durian;Good;Plant Extracts;;A tropical fruit that contains high levels of antioxidants such as caffeic acid and quercetin, and likely has topical benefit as well, though this hasn’t been proven.
Durvillaea Antarctica Extract;Good;Antioxidant, Plant Extracts, Humectant;Hydration, Anti-Aging;Extract derived from a species of algae (_Durvillea antarctica_).
Ecamsule;Best;UV Filters;;Sunscreen ingredient that provides UVA protection. Technical name is terephthalylidene dicamphor sulfonic acid.
Echium Plantagineum Seed Oil;Best;Emollient, Plant Extracts, Antioxidant;Anti-Aging, Hydration;A novel, non-fragrant plant oil that’s a rich source of saturated fatty acids and phospholipids for skin.
Eclipta Prostrata Extract;Best;Plant Extracts, Antioxidant;;An annual plant common to Korea, Eclipta prostrata has potent antioxidant and skin-calming properties. Also known as false daisy, this non-fragrant plant is a member of the sunflower family.
Ectoin;Best;Emollient;Hydration;Ectoin is a synthetic ingredient that serves as an emollient on skin and can also have a buffering effect in cosmetic formulas. Chemically, ectoin is considered an osmolyte. What that means for skin is that as an osmolyte, ectoin helps maintain balanced hydration by maintaining the correct water balance in skin. In doing so, skin can better maintain a smooth, soft surface. Newer research indicates ectoin can also help protect skin from environmental stressors related to different types of natural light and pollutants. This is believed to happen in part because of its antioxidant ability as well as what seems to be a natural ability to protect skin from dehydration due to environmental exposure.
